date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:39:42	5436/5436	---M--	200	added ('OK')	image/png	etag:%221d9b2c1547c2f3c%22	http://quinielasbros.com/flags/638122539996422328.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/flags/638122539996422328.png	(from http://quinielasbros.com/quiniela/6)
14:39:43	2666/2666	---M--	200	added ('OK')	image/png	etag:%221da266b807ec06a%22	http://quinielasbros.com/flags/638372398124348810.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/flags/638372398124348810.png	(from http://quinielasbros.com/quiniela/6)
14:39:43	5036/5036	---M--	200	added ('OK')	image/png	etag:%221d9b2c15d6d182c%22	http://quinielasbros.com/flags/638116695560077847.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/flags/638116695560077847.png	(from http://quinielasbros.com/quiniela/6)
14:39:43	2356/2356	---M--	200	added ('OK')	image/png	etag:%221d9b2c15e9e31b4%22	http://quinielasbros.com/flags/638159077175755200.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/flags/638159077175755200.png	(from http://quinielasbros.com/quiniela/6)
14:39:43	2418/2418	---M--	200	added ('OK')	image/png	etag:%221d9b2c15ba34172%22	http://quinielasbros.com/flags/638129297489360354.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/flags/638129297489360354.png	(from http://quinielasbros.com/quiniela/6)
14:39:43	5806/5806	---M--	200	added ('OK')	image/png	etag:%221d9b2c143cbd2ae%22	http://quinielasbros.com/flags/638177168071314892.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/flags/638177168071314892.png	(from http://quinielasbros.com/quiniela/6)
14:39:43	1304/1304	---M--	200	added ('OK')	image/png	etag:%221d9b2c182fa1018%22	http://quinielasbros.com/flags/638116694261544252.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/flags/638116694261544252.png	(from http://quinielasbros.com/quiniela/6)
14:39:44	3991/3991	---M--	200	added ('OK')	image/png	etag:%221d9b2c1167f1997%22	http://quinielasbros.com/flags/638186306569464339.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/flags/638186306569464339.png	(from http://quinielasbros.com/quiniela/6)
14:39:44	5897/5897	---M--	200	added ('OK')	image/png	etag:%221d9b2c11bdc7789%22	http://quinielasbros.com/flags/638105659067855894.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/flags/638105659067855894.png	(from http://quinielasbros.com/quiniela/6)
14:39:44	5290/5290	---M--	200	added ('OK')	image/png	etag:%221d9b2c1462e0aaa%22	http://quinielasbros.com/flags/638105658484613383.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/flags/638105658484613383.png	(from http://quinielasbros.com/quiniela/6)
14:39:44	3482/3482	---M--	200	added ('OK')	image/png	etag:%221d9b2c14a5a361a%22	http://quinielasbros.com/flags/638105658066725144.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/flags/638105658066725144.png	(from http://quinielasbros.com/quiniela/6)
14:39:45	5062/5062	---M--	200	added ('OK')	image/png	etag:%221d9b2c17bd314c6%22	http://quinielasbros.com/flags/638105657755088834.png	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/flags/638105657755088834.png	(from http://quinielasbros.com/quiniela/6)
14:39:45	19666/19666	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202023%2020:39:45%20GMT	http://quinielasbros.com/quiniela/facebook.svg	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/quiniela/facebook.html	(from http://quinielasbros.com/quiniela/6)
14:39:45	4648/4648	---M--	200	added ('OK')	application/javascript	etag:%221d9b2c0f94a55a8%22	http://quinielasbros.com/js/site.js?v=Pf9tI5AXvzvNsD7H3qmyCa_5ZtmoSWbIS2GGyiSMA7E	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/js/sitec41e.js	(from http://quinielasbros.com/quiniela/6)
14:39:48	53495/53495	---M--	200	added ('OK')	image/jpeg	etag:%221d9b2c0fb14dbf7%22	http://quinielasbros.com/logo.jpg	C:/My%20Web%20Sites/Quinielas%20bros/quinielasbros.com/logo.jpg	(from http://quinielasbros.com/css/styles.css)
